Year,Month,Day,Hour,Evap_mm_hr
1998,1,17,9,0.2395350248248102
1998,1,17,10,0.3978152512442458
1998,1,17,11,0.5293803881347816
1998,1,17,12,0.6025927662704519
1998,1,17,13,0.6130765791760596
1998,1,17,14,0.5530203032830138
1998,1,17,15,0.4297609012976044
1998,1,17,16,0.2530495998780245
1998,1,17,17,0.071455063
1998,1,17,18,0.071206828
1998,1,17,19,0.077225107
1998,1,17,20,0.077439361
1998,1,17,21,0.069292908
1998,1,17,22,0.061751466
1998,1,17,23,0.056340667
1998,1,18,0,0.055126026562988664
1998,1,18,1,0.057630221
1998,1,18,2,0.065349961
1998,1,18,3,0.072894957
1998,1,18,4,0.079349095
1998,1,18,5,0.081916294
1998,1,18,6,0.084593294
1998,1,18,7,0.097383269
1998,1,18,8,0.14669478474885103
1998,1,18,9,0.3313438046981306
1998,1,18,10,0.5043373224522342
1998,1,18,11,0.6254493706839347
1998,1,18,12,0.6847383966294176
1998,1,18,13,0.6790462548762528
1998,1,18,14,0.6099624210343576
1998,1,18,15,0.4810560943238273
1998,1,18,16,0.2878187686353834
1998,1,18,17,0.093777263
1998,1,18,18,0.086495061
1998,1,18,19,0.089351283
1998,1,18,20,0.084405168
1998,1,18,21,0.075528565
1998,1,18,22,0.067184817
1998,1,18,23,0.059463676121598086
1998,1,19,0,0.053751398
1998,1,19,1,0.048061329513023686
1998,1,19,2,0.043528753
1998,1,19,3,0.040507617
1998,1,19,4,0.040131498
1998,1,19,5,0.03982979
1998,1,19,6,0.03975724
1998,1,19,7,0.039484874
1998,1,19,8,0.075706885
1998,1,19,9,0.2672357526834127
1998,1,19,10,0.4549515440378287
1998,1,19,11,0.5954832376734128
1998,1,19,12,0.6738099948706088
1998,1,19,13,0.6842925648401347
1998,1,19,14,0.6239178208769826
1998,1,19,15,0.49901206936514897
1998,1,19,16,0.3247827538991138
1998,1,19,17,0.1420178780994151
1998,1,19,18,0.12957476332755594
1998,1,19,19,0.12407130790553159
1998,1,19,20,0.11462134235351047
1998,1,19,21,0.1089275392804716
1998,1,19,22,0.10506698176361749
1998,1,19,23,0.09969058
1998,1,20,0,0.090449895
1998,1,20,1,0.078569974
1998,1,20,2,0.070996865
1998,1,20,3,0.067783264
1998,1,20,4,0.066269686
1998,1,20,5,0.063881719
1998,1,20,6,0.062877878
1998,1,20,7,0.064979007
1998,1,20,8,0.082929023
1998,1,20,9,0.098702822
1998,1,20,10,0.1811873207574234
1998,1,20,11,0.5363911094990098
1998,1,20,12,0.6205101297109525
1998,1,20,13,0.5005749857743339
1998,1,20,14,0.44231649813371665
1998,1,20,15,0.3961135251056091
1998,1,20,16,0.2284806342500906
1998,1,20,17,0.076394418
1998,1,20,18,0.069070482
1998,1,20,19,0.07546455
1998,1,20,20,0.080744722
1998,1,20,21,0.075591323
1998,1,20,22,0.066051696
1998,1,20,23,0.059899501
1998,1,21,0,0.056741117403859516
1998,1,21,1,0.053800285481724545
1998,1,21,2,0.049935188893470844
1998,1,21,3,0.046115929
1998,1,21,4,0.045914527
1998,1,21,5,0.046691031
1998,1,21,6,0.046107280466096585
1998,1,21,7,0.056136379
1998,1,21,8,0.099295427
1998,1,21,9,0.15643175920375413
1998,1,21,10,0.2265487567276566
1998,1,21,11,0.33023682533367105
1998,1,21,12,0.34559049341298503
1998,1,21,13,0.6308424200599542
1998,1,21,14,0.5755425167145135
1998,1,21,15,0.461793404
1998,1,21,16,0.28600172634188753
1998,1,21,17,0.10031847989322851
1998,1,21,18,0.077048686
1998,1,21,19,0.080638031
1998,1,21,20,0.086396893
1998,1,21,21,0.092595236
1998,1,21,22,0.092807745
1998,1,21,23,0.08932415
1998,1,22,0,0.089119571
1998,1,22,1,0.091865237
1998,1,22,2,0.097425972
1998,1,22,3,0.10059894645902313
1998,1,22,4,0.1026595288559949
1998,1,22,5,0.10124713648321544
1998,1,22,6,0.098979785
1998,1,22,7,0.10213440613902032
1998,1,22,8,0.1110365645206174
1998,1,22,9,0.13669584068106205
1998,1,22,10,0.1915689928485624
1998,1,22,11,0.38231490952320235
1998,1,22,12,0.45745474367131916
1998,1,22,13,0.5502580754803452
1998,1,22,14,0.5625438008263526
1998,1,22,15,0.4426350704615966
1998,1,22,16,0.2638799714049543
1998,1,22,17,0.079469772
1998,1,22,18,0.05739905
1998,1,22,19,0.057948807
1998,1,22,20,0.056992097389013424
1998,1,22,21,0.057409508480057256
1998,1,22,22,0.053844417956198286
1998,1,22,23,0.051798678
1998,1,23,0,0.048462881
1998,1,23,1,0.047886905030051774
1998,1,23,2,0.047595957766929486
1998,1,23,3,0.04858214
1998,1,23,4,0.049452035
1998,1,23,5,0.049243469301875474
1998,1,23,6,0.049138885822829874
1998,1,23,7,0.05464784
1998,1,23,8,0.088724898
1998,1,23,9,0.2550261135410294
1998,1,23,10,0.41096053721451786
1998,1,23,11,0.5402213287093078
1998,1,23,12,0.6237113425850295
1998,1,23,13,0.6375144356865639
1998,1,23,14,0.5833363917057688
1998,1,23,15,0.4644804643383783
1998,1,23,16,0.2800273688736279
1998,1,23,17,0.086756131
1998,1,23,18,0.070161134
1998,1,23,19,0.078708137
1998,1,23,20,0.088027751
1998,1,23,21,0.085632934
1998,1,23,22,0.072688795
1998,1,23,23,0.060772617
1998,1,24,0,0.054804942
1998,1,24,1,0.051628336191863466
1998,1,24,2,0.049703086926335224
